month,year,time,route_id,weekdays_in_month,year_cent,gtfs,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,workers_16_over,median_earnings,emp_pop_ratio,log_upt,log_upt_avg,log_vrm,log_gas_price,log_perc_car,log_perc_taxicab,log_perc_wfh,log_perc_female,log_below_fpl,log_fpl_100_150,log_perc_renter_occupied,log_population,log_labor_part_rate,log_unemp_rate,log_perc_hshlds_noveh
2,2024,38,77,21,3,F23_S24,1,0,0,0,0,0,0,0,0,0,0,1730.2907938565509,40170.57664371924,59.69154595423233,8.670257567143075,5.625735129419652,9.369638068870499,1.1375124376256662,4.2248713465919545,0.6768757588593721,2.75188325455635,3.817926281050606,2.063653724816494,1.8709388663943411,4.051228008608013,8.138201251692776,4.151630387711636,1.7462104396537987,2.566808334490153
2,2024,38,79,21,3,F23_S24,1,0,0,0,0,0,0,0,0,0,0,2306.0194078826075,38961.72033148597,62.64511324651293,8.416709652837914,5.372187215114492,9.090322966974723,1.1375124376256662,4.44266279263299,-0.6181172359901472,2.2906355577125104,3.802499813859849,2.382528612249572,2.4451806842896753,3.676368716981073,8.478363749539279,4.206711828104798,1.9267376826168219,2.230964461280643
3,2024,39,3,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2404.4517386148914,68807.39657671555,68.21907194040168,10.597809043323842,7.553286605600419,10.470569967135509,1.2220091668120345,4.259007827419955,0.32215999574881365,3.0631624000221875,3.9100730544394935,1.5983476179104172,1.3161350882289071,3.905216220447373,8.324036398295322,4.252648694171035,1.0569859352697075,1.6514885592701778
3,2024,39,4,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2576.616167867057,64350.31132996954,75.85861262019776,9.653871680890804,6.60934924316738,9.441571133473012,1.2220091668120345,4.144116246439104,0.364241836244102,3.406072566842687,3.8525743947390425,1.46911797061058,1.1571416706858855,3.7015781653306195,8.33108823420319,4.3758689471743395,1.5538780753703247,1.9822011116386953
3,2024,39,6,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2488.6970948230182,49448.67466953152,71.76187383141433,9.598930562859502,6.55440812513608,9.880029552497936,1.2220091668120345,4.321132565737495,0.46374188907889674,2.9139363611928184,3.9013107615931757,1.58977367766335,1.5979299267537783,3.995202754854376,8.304966892687315,4.292450974910658,0.7275458630325989,1.9496267978923152
3,2024,39,7,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2895.1592674072876,63878.90822142903,70.96554211501044,10.335659503472856,7.291137065749433,9.603226697877487,1.2220091668120345,4.0478549670687975,0.8591638192293316,3.232303963646327,3.9349074192898006,1.9678355703381252,1.2202321057489782,4.112020959070928,8.428742843443217,4.284265367922943,0.8946553450892453,1.9353558678434413
3,2024,39,8,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2348.095094674766,56146.776614768954,69.32139147196645,9.77945377161268,6.734931333889257,8.949633832722682,1.2220091668120345,4.037206186088656,0.5036506755233476,3.087273019282241,3.776438373493289,1.6409590075894427,1.3144680450020831,3.9853040910464395,8.136786166408038,4.2620580103686185,0.7112355338382749,2.229425542935248
3,2024,39,9,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2513.104533949209,53705.35887722105,73.00524028435251,8.94494150776486,5.900419070041436,8.583293617145527,1.2220091668120345,4.173530418028093,0.043461140311594496,3.057435384826252,4.131747868424078,2.465005083214797,0.7874831695723072,4.369667549336804,8.2614936176165,4.354556534758263,1.7748739274940597,2.662300964469359
3,2024,39,14,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2030.406012068255,44841.49293162425,60.96329390419265,8.581294116822761,5.536771679099338,8.977352271713702,1.2220091668120345,4.3185158331725475,1.1426601320986216,2.7532197862502636,4.018417566787706,2.2324115741971986,2.0899480915593873,3.7847245661022053,8.37519339167987,4.189362527804221,2.028266938583143,2.4832177771828676
3,2024,39,17,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2853.8956020728824,63937.1846907163,72.2549043275005,9.325987795502144,6.281465357778721,9.231730953491706,1.2220091668120345,4.116399692895115,0.9389559249398859,3.224581941650536,3.907447980156579,1.6794781852291367,1.0639961234307518,3.8835127998167702,8.423655504106998,4.306826083689637,0.9245807081735251,1.936956867334034
